subject_id,naive_acc,naive_prec,naive_rec,naive_f1,masked_acc,masked_prec,masked_rec,masked_f1
0,0.7293898826968013,0.36047202160878145,0.9380358923230309,0.5208065208065208,0.8806122448979592,0.6277355217507339,0.9380358923230309,0.7521384603085778
1,0.8420609791200762,0.6309278350515464,0.7523501904256857,0.6863098641101192,0.8650813400105758,0.6376987204342769,0.9164170787769033,0.7520649346937609
2,0.8302628758864257,0.5543032786885246,0.9637051881540859,0.703797056671274,0.835507854658832,0.6264837010016792,0.9637051881540859,0.7593382107830238
3,0.8101570129967696,0.6801371751568208,0.9041902449082453,0.7763210952329435,0.8984727682207096,0.8696428177952097,0.9041902449082453,0.8865801060292928
4,0.7657283529376553,0.5757221927363713,0.9193626501356064,0.7080500927816786,0.843621331265007,0.7084795103381354,0.9193626501356064,0.8002613717802791
5,0.7939021380310369,0.42286703631462447,0.9803373640890154,0.5908652447520325,0.9745436259440586,0.8936593951183364,0.9803373640890154,0.9349938216267295
6,0.7715256205089586,0.4363592938319766,0.9645402551693797,0.6008797774519342,0.951068141927601,0.8379452683075982,0.9645402551693797,0.896797153024911
7,0.8234856398734992,0.49297887140248675,0.944014319014319,0.647712343633975,0.9781006071118821,0.9505427721195356,0.944014319014319,0.9472672973706745
8,0.7828630444673952,0.44567647321827775,0.790954175758778,0.5701131017916125,0.9449907617404706,0.951644469903098,0.790954175758778,0.8638904536984876
9,0.6903361977988843,0.45362148515713413,0.850943088103209,0.5917776326623321,0.932238971338601,0.9543498168498169,0.850943088103209,0.8996848966201925
10,0.7062703929635409,0.433133866738385,0.6174046386812344,0.5091081518947327,0.8736221356531247,0.9523011727604218,0.6174046386812344,0.7491278393673929
11,0.7865048924861078,0.8920888763090857,0.3203079346528113,0.4713690153483764,0.8321974830590513,0.8738939882576697,0.40065208325435037,0.5494151286716923
12,0.7796673368671175,0.7093311825288497,0.5240649064906491,0.6027837823588338,0.7940154840493554,0.8815297428582444,0.5240649064906491,0.6573428583748976
13,0.7425157900142068,0.7233649306445119,0.7253293698851334,0.7243458183683941,0.8293712721040891,0.9326836864706715,0.7253293698851334,0.8160404624277456
14,0.6566978193146418,0.38664554702837767,0.9661073638441384,0.5522680560202667,0.9308110549446732,0.837003767024051,0.9661073638441384,0.8969336266011126
15,0.6828397000597226,0.45436727204487165,0.8967489711934157,0.6031359415436139,0.9325167273331421,0.9175157894736842,0.8967489711934157,0.9070135275754423
16,0.8502788899946768,0.8571906526662549,0.8184342441517594,0.8373642397425582,0.9147194246513541,0.838297004312857,0.9703828638893573,0.899516893106737
17,0.6217356859920777,0.3416232353387644,0.9826795720835456,0.5069930726340887,0.9502346785241079,0.8722304760674375,0.9826795720835456,0.924166723701321
18,0.7845248338744315,0.6012803653231983,0.9495857772097588,0.7363205209881787,0.9552379608894218,0.9355157837935066,0.9495857772097588,0.942498272796258
19,0.7559764779786418,0.38253519789168783,0.8914462764191656,0.5353446414034855,0.9588769739827142,0.9018246949513041,0.8914462764191656,0.8966054535336672
20,0.8035553273968185,0.44024680223023943,0.8942043467399451,0.590011263426829,0.9666209564273088,0.9278524214801054,0.8942043467399451,0.9107176932047069
21,0.909539704574878,0.9178555987894509,0.7106384273629116,0.8010633736386246,0.9373472457228802,0.8986175115207373,0.801948051948052,0.8475351709939379
22,0.7919321356998685,0.4422121305784731,0.7715506512901352,0.5622005592080405,0.9337363545426869,0.8980685659101884,0.7715506512901352,0.8300160656908248
23,0.8726602340137672,0.6644289693593315,0.8243364666850982,0.7357949287432908,0.9387274440176825,0.9341662097595363,0.8243364666850982,0.8758215531485222
24,0.8962237202925045,0.9312103354487761,0.6291971361843869,0.7509767633148264,0.931567443796836,0.9215762273901809,0.7790519877675841,0.844341856060606
25,0.7872836755013987,0.47321709079484764,0.8866378887471794,0.6170837458605033,0.9583520910528563,0.9330476977080322,0.8866378887471794,0.9092509683585692
26,0.9322504525165607,0.8127138093794657,0.8692108188217859,0.8400134273246057,0.9483051206991642,0.9015275242578538,0.8692108188217859,0.8850742749351568
27,0.6882504638435418,0.43554165852387466,0.9653015063285048,0.6002513765860665,0.9495666650345199,0.8943683952378829,0.9653015063285048,0.9284821552562145
