subject_id,naive_acc,naive_prec,naive_rec,naive_f1,masked_acc,masked_prec,masked_rec,masked_f1
0,0.8595374728316107,0.5287953795379537,0.9584745762711865,0.6815668202764976,0.9598948250455084,0.852336200017732,0.9584745762711865,0.9022948050119668
1,0.9198652974865131,0.890275611024441,0.7428048016198235,0.8098817345597897,0.9553739590629621,0.8768695880346365,0.9310440899909452,0.9031451640147292
2,0.9118590341226925,0.7494531639740588,0.8697394789579158,0.8051284165395556,0.9032602565487119,0.7917460574857097,0.8697394789579158,0.8289121853911124
3,0.8533145157249511,0.7182834571868515,0.9832069463217943,0.8301207965414859,0.9436966843714791,0.8982000837170364,0.9832069463217943,0.9387830994542212
4,0.8309242389083097,0.6530488702737194,0.9665585044556374,0.7794604411377019,0.9080072643222717,0.803474374974838,0.9665585044556374,0.8775034625277552
5,0.8096513090378784,0.4425844481797877,0.9765775835789046,0.6091172695726577,0.9892256723275396,0.966122141241518,0.9765775835789046,0.9713217272658362
6,0.7964025332946172,0.4663355755327843,0.9790585129784426,0.6317582433180509,0.9747938294363054,0.9129471611421069,0.9790585129784426,0.9448477900904344
7,0.8125246047140843,0.4777055653819259,0.9668248418248419,0.6394570933017647,0.9825505219224795,0.9503293645922835,0.9668248418248419,0.9585061384504282
8,0.8302699265938385,0.5188993578852137,0.932989486213053,0.6668935397878736,0.9836787973297356,0.9926551287463065,0.932989486213053,0.9618979445751099
9,0.7378594748354147,0.5017169257663733,0.9842410386217033,0.6646357433317253,0.9885907704877372,0.9838393731635652,0.9842410386217033,0.9840401649046899
10,0.7860741628491906,0.5390361716468209,0.9197814836112709,0.6797223599405057,0.9721695809319136,0.9883964434069141,0.9197814836112709,0.9528553225993281
11,0.8621473620605008,0.9292337725719864,0.580502553418532,0.7145917713106166,0.9186320183637297,0.918903803131991,0.7474693862076809,0.8243681140635126
12,0.8841371542253624,0.8180840105299302,0.819077741107444,0.8185805742295315,0.9222157867893049,0.9700342000977146,0.819077741107444,0.888187489126923
13,0.7825468992148502,0.773130854278903,0.7557525046790708,0.7643429122862365,0.8688934441932641,0.9909534922888146,0.7557525046790708,0.8575176190129189
14,0.7521087503973009,0.46849322449419434,0.9693962874184737,0.6316974826546551,0.9803873839413012,0.9677778396126663,0.9693962874184737,0.968586387434555
15,0.7237425994577547,0.4931148900871008,0.9785185185185186,0.6557639271924987,0.9870608863897454,0.9861479761114798,0.9785185185185186,0.982318433446253
16,0.9183659290652031,0.9675133392618942,0.8554894829958718,0.9080594679186228,0.9753153631655822,0.9611937325720356,0.9767245741271715,0.968896919807927
17,0.683517845816756,0.3820369944852941,0.9679790408267229,0.5478509792614865,0.9843511107113949,0.9811167662462197,0.9679790408267229,0.9745036266393143
18,0.8143309752180895,0.6354301917767331,0.9717004815482575,0.7683853386511703,0.9858956152034507,0.991638718092044,0.9717004815482575,0.9815683607483314
19,0.7879158192435604,0.4244873195000607,0.9677437202611486,0.5901246647210648,0.9894806776658177,0.9794489864486504,0.9677437202611486,0.9735611711009685
20,0.814975508269251,0.4553561670783152,0.8673911233241736,0.5971993292149808,0.9737438939288207,0.9939882627987977,0.8673911233241736,0.9263845965715811
21,0.9584688965350435,0.9764697740406243,0.8587121903718581,0.9138129240135361,0.9897580106652121,0.9709041119335929,0.9822943722943723,0.9765660304275785
22,0.8153787563054194,0.4838749009327562,0.9877623828092591,0.6495532974152629,0.9874773739905319,0.9541574834702464,0.9877623828092591,0.9706691669554228
23,0.8968312399140322,0.7209882339133241,0.8491844069670998,0.7798530555246996,0.9553738931837338,0.9777176508037562,0.8491844069670998,0.908929496189983
24,0.9218546074630136,0.9679272879231091,0.7094452314407137,0.8187702980359235,0.9575191053364752,0.9622780610677644,0.8553407601572739,0.905663650293446
25,0.8197567408588072,0.5201920279313355,0.8770234474639459,0.6530425889400248,0.9638689122580198,0.9663279645443735,0.8770234474639459,0.9195124459987657
